number,label,status,composite,computational_handle,counterexample_reachable,accessibility,depth_required,problem_type,attack_vector,rationale,statement
396,#396,open,88.0,5,4,5,3,universal,"For each k, search for n such that the product (n)(n-1)...(n-k) divides C(2n,n); check small k values computationally to build evidence or find patterns.","The objects are purely integers and binomial coefficients, making this fully elementary and directly computable. For each fixed k, a finite search over n can verify existence, and patterns in valid n values may suggest a proof strategy.",Is it true that for every $k$ there exists $n$ such that $$\prod_{0\le i\le k} (n-i) \mid \binom{2n}{n}?$$
686,#686,open,88.0,5,4,5,3,universal,"For each N from 2 to 10000, search over small k and m,n pairs to verify representability; look for patterns or failures","Objects are purely integers and products of consecutive integers (ratios of partial factorials), fully computable for small N. Computational search can verify or find counterexamples for moderate N, giving strong evidence about truth of the conjecture.",Can every integer $N \geq 2$ be written as \[N = \frac{\prod_{1 \leq i \leq k}(m+i)}{\prod_{1 \leq i \leq k}(n+i)}\] for some $k \geq 2$ and $m \geq n+k$?
779,#779,open,88.0,5,4,5,3,universal,"For each n from 2 upward, compute P=primorial(p_n), find primes p in (p_n, P), check if P+p is prime; verify for many n or find a counterexample.","All objects are elementary (primorials, primes, primality testing), and direct computation is feasible for moderate n. Primorials grow fast so the window (p_n, P) is large, making a counterexample unlikely but the search per case is computationally concrete.",Let $n > 1$ and $p_1 < \cdots < p_n$ denote the first $n$ primes. Let $P = \prod_{1 \leq i \leq n} p_i$. Does there always exist some prime $p$ with $p_n < p < P$ such that $P + p$ is prime?
11,#11,open,85.0,5,4,5,2,universal,"For odd n up to 10^8, check that some 2^k subtracted from n yields a squarefree number; flag any failures","Objects are elementary (integers, squarefree numbers, powers of 2) and the check is directly computable for each n. A counterexample would be an odd n where n-2^k is not squarefree for every valid k, which is feasible to search for in large ranges.",Is every large odd integer $n$ the sum of a squarefree number and a power of $2$?
137,#137,open,85.0,5,4,5,2,universal,"Search consecutive k-tuples n,(n+1),...,(n+k-1) for small n and k=3,4,5: check if product is powerful by verifying all prime factors appear to even power.","Objects are entirely elementary (consecutive integers, powerful numbers defined by basic divisibility). For k=3 the answer is known to be no, but computational search for small n across various k could quickly verify no examples exist and inform the conjecture, though a full proof requires deeper number-theoretic arguments about prime distributions in consecutive integers.",We say that $N$ is powerful if whenever $p \mid N$ we also have $p^2 \mid N$. Let $k \geq 3$. Can the product of any $k$ consecutive positive integers ever be powerful?
364,#364,open,85.0,5,4,5,2,universal,"Search integers n up to 10^12 checking whether n, n+1, n+2 are all powerful numbers (each prime factor appears squared).","Powerful numbers are elementary to define and check computationally. No triple is known; exhaustive search up to large bounds gives strong evidence, and the problem reduces to Diophantine constraints that may be attackable via abc conjecture or Catalan-type arguments, but computation can at least firmly rule out small counterexamples.",Are there any triples of consecutive positive integers all of which are powerful (i.e. if $p \mid n$ then $p^2 \mid n$)?
398,#398,open,85.0,5,4,5,2,universal,Check n! + 1 = x^2 for all n up to a large bound (say 10000) using arbitrary precision integer square root checks,"The problem involves only factorials and perfect squares, completely elementary. Finite computation can verify no new solutions exist up to large n, and known results (Brocard-Ramanujan problem) confirm no solutions beyond n=7 up to very large bounds, making computational evidence very strong though a proof remains elusive.","Are the only solutions to $n! = x^2 - 1$ when $n = 4, 5, 7$?"
414,#414,open,85.0,5,4,5,2,universal,"For small m,n (say up to 1000), iterate h repeatedly and check if the orbits ever merge; look for pairs whose trajectories seem to diverge permanently.","Objects are entirely elementary (divisor count, iteration) and fully computable. The question of whether all trajectories eventually merge is directly testable on small cases, and if a counterexample exists it would likely be detectable computationally, though proving non-merging would be hard.","Let $h_1(n) = h(n) = n + \tau(n)$ (where $\tau(n)$ counts the number of divisors of $n$) and $h_k(n) = h(h_{k-1}(n))$. Is it true, for any $m, n$, there exist $i$ and $j$ such that $h_i(m) = h_j(n)$?"
282,#282,open,84.0,5,4,4,3,universal,"Implement the greedy odd-unit-fraction algorithm for rationals p/q with q odd, run for all such fractions with small denominators (q<=999) and track termination; look for non-terminating cycles.","The objects are elementary (rationals, odd numbers, greedy subtraction) and the algorithm is directly simulable on a computer for many small cases. Termination or cycle-detection for small odd-denominator rationals is fully computable, giving strong experimental evidence either way.","Let $A \subseteq \mathbb{N}$ be an infinite set and consider the following greedy algorithm for a rational $x \in (0,1)$: choose the minimal $n \in A$ such that $n \geq 1/x$ and repeat with $x$ replaced by $x - \frac{1}{n}$. If this terminates after finitely many steps then this produces a representation of $x$ as the sum of distinct unit fractions with denominators from $A$. Does this process always terminate if $x$ has odd denominator and $A$ is the set of odd numbers? More generally, for which pairs $x$ and $A$ does this process terminate?"
475,#475,open,84.0,5,4,4,3,universal,"For small primes p and all subsets A of F_p\{0}, exhaustively check whether a valid permutation exists; test p=5,7,11,13 and all subset sizes up to p-1.","The objects are elementary (finite sets in Z/pZ), and the condition is directly checkable by permutation search on small cases. If a counterexample exists it would likely appear for moderate p and specific subset sizes, making computational search genuinely informative.","Let $p$ be a prime. Given any finite set $A \subseteq \mathbb{F}_p \setminus \{0\}$, is there always a rearrangement $A = \{a_1, \ldots, a_t\}$ such that all partial sums $\sum_{1 \leq k \leq m} a_k$ are distinct, for all $1 \leq m \leq t$?"
488,#488,open,84.0,5,4,4,3,universal,"Fix small sets A (e.g., {2,3}, {2,5}, etc.), enumerate B up to large N, then check the ratio |B∩[1,m]|/m < 2|B∩[1,n]|/n for all max(A)<=n<m up to N.","B is the set of multiples of elements of A, computable by inclusion-exclusion; the density |B∩[1,n]|/n is explicit and approaches a limit, so the claim is about transient oscillation staying within factor 2. Computational search over small A and all valid n<m pairs is entirely feasible and could find a counterexample or build strong evidence.","Let $A$ be a finite set and $B = \{n \geq 1 : a \mid n \text{ for some } a \in A\}$. Is it true that, for every $m > n \geq \max(A)$, $$\frac{|B \cap [1,m]|}{m} < 2\frac{|B \cap [1,n]|}{n}?$$"
681,#681,open,84.0,5,4,4,3,universal,"For each n up to 10^6, search over small k to find one where n+k is composite and its least prime factor exceeds k^2; check if any n fails.","The objects are elementary (integers, least prime factor, compositeness) and the condition is directly checkable by trial division for small n and k. If any large n lacks such a k, a finite search would find it, making this a good computational target.","Is it true that for all large $n$ there exists $k$ such that $n + k$ is composite and $p(n + k) > k^2$, where $p(m)$ is the least prime factor of $m$?"
699,#699,open,84.0,5,4,4,3,universal,"Write code to compute gcd(C(n,i),C(n,j)) for all valid i<j<=n/2 and check if any prime p>=i divides it; search over n up to a few hundred for counterexamples","The objects are just binomial coefficients and gcd, fully computable; the quantifier is 'for all n and all pairs i<j<=n/2' so a counterexample search over moderate n is feasible. The number-theoretic structure of primes dividing binomial coefficients (Kummer's theorem) gives both computational and theoretical handles.","Is it true that for every $1 \le i < j \le n/2$ there exists some prime $p \ge i$ such that $p \mid \gcd\left(\binom{n}{i}, \binom{n}{j}\right)$?"
1097,#1097,open,82.0,5,3,5,3,universal,"For small n (say n up to 20-30), enumerate all sets A of n integers from a bounded range, count distinct common differences of 3-APs, and check whether the maximum ever exceeds c*n^{1.5} to probe tightness or find counterexamples.","The objects are entirely elementary (finite sets of integers, arithmetic progressions), and the question is whether a concrete count is always O(n^{3/2}). Computational experiments on small cases can map the extremal behavior and test whether the bound is tight or violated.","Let $A$ be a set of $n$ integers. How many distinct $d$ can occur as the common difference of a three-term arithmetic progression in $A$? In particular, are there always $O(n^{3/2})$ many such $d$?"
331,seq331,open,82.0,5,3,5,3,universal,"For each small k, enumerate n and check divisibility; find pattern of valid n and conjecture density/structure","The objects are purely elementary (factorials, divisibility), and direct computation for small k and n is trivial. The problem likely reduces to showing certain central binomial-type expressions are integers infinitely often, which may be accessible via explicit constructions like n = mk-k for suitable m.",Let $k \geq 2$. Does $(n+k)!^2 \mid (2n)!$ for infinitely many $n$?
317,#317,open,81.0,5,4,4,2,universal,"For each n, enumerate all ternary coefficient vectors δ_k∈{-1,0,1} and compute the nonzero minimum of |Σδ_k/k|; compare against c/2^n and 1/lcm(1..n) to test both conjectures computationally for small n.","The objects are just harmonic partial sums with ±1/0 coefficients, entirely elementary and directly computable. Both questions can be checked for moderate n (up to ~20-25) by exhaustive or smart search over the 3^n sign patterns, giving strong numerical evidence or a counterexample.","Is there some constant $c > 0$ such that for every $n \geq 1$ there exists some $\delta_k \in \{-1, 0, 1\}$ for $1 \leq k \leq n$ with \[0 < \left|\sum_{1 \leq k \leq n} \frac{\delta_k}{k}\right| < \frac{c}{2^n}?\] Is it true that for sufficiently large $n$, for any $\delta_k \in \{-1, 0, 1\}$, \[\left|\sum_{1 \leq k \leq n} \frac{\delta_k}{k}\right| > \frac{1}{[1, \ldots, n]}\] whenever the left-hand side is not zero?"
387,#387,open,81.0,5,4,4,2,universal,"For all small n and k, compute binomial(n,k) and check whether it has any divisor in (cn,n] for candidate values of c (e.g., c=1/2); find the worst-case ratio to estimate optimal c or find a counterexample.","The objects are purely elementary (binomial coefficients and divisors of integers), making exhaustive search over small n,k entirely feasible. If a counterexample exists for any fixed c it would likely appear at modest n, making computational search meaningful.","Is there an absolute constant $c > 0$ such that, for all $1 \le k < n$, the binomial coefficient $\binom{n}{k}$ has a divisor in $(cn, n]$?"
938,#938,open,81.0,5,4,4,2,universal,"Enumerate powerful numbers up to 10^12, check all consecutive triples for arithmetic progressions, catalog all hits and see if they terminate","Powerful numbers are elementary objects and the sequence is directly computable; exhaustive search over consecutive triples can find all known APs and give strong empirical evidence about whether they stop. The problem is accessible but settling it likely requires understanding gaps between powerful numbers, which has nontrivial analytic depth.","Let $A = \{n_1 < n_2 < \cdots\}$ be the sequence of powerful numbers (if $p \mid n$ then $p^2 \mid n$). Are there only finitely many three-term progressions of consecutive terms $n_k, n_{k+1}, n_{k+2}$?"
1094,#1094,open,81.0,5,4,4,2,universal,"Enumerate binomial coefficients C(n,k) for n up to ~10^4, compute least prime factor, check if it's >= max(n/k, k); catalog all exceptions to see if they're finite and small","The objects are completely elementary (binomial coefficients, prime factors) and directly computable. Computational search can find all exceptions up to large n and strongly test whether they are indeed finite, though proving finiteness likely requires deeper analytic number theory.","For all $n \geq 2k$ the least prime factor of $\binom{n}{k}$ is $< \max(n/k, k)$, with only finitely many exceptions."
422,#422,open,79.0,5,3,5,2,other,"Compute f(n) for n up to 10^6, collect the range, identify missed values and their density/pattern","The recurrence is elementary and directly computable; experiments can reveal the range, missed values, and growth behavior with very little code. However, fully proving observed patterns (like whether infinitely many integers are missed) likely requires deeper analysis beyond computation alone.",Let $f(1) = f(2) = 1$ and for $n > 2$ $$f(n) = f(n - f(n - 1)) + f(n - f(n - 2)).$$ Does $f(n)$ miss infinitely many integers? What is its behaviour?
341,#341,open,75.0,5,3,4,2,universal,Implement the greedy sequence extension for small seed sets A and compute long difference sequences to check for eventual periodicity empirically.,"The construction is entirely elementary and directly simulable in code for any chosen seed set; experiments on many seed sets can strongly suggest or refute eventual periodicity. However, proving or disproving it rigorously likely requires new ideas about additive structure, so depth is low.","Let $A = \{a_1 < \cdots < a_k\}$ be a finite set of positive integers and extend it to an infinite sequence $A = \{a_1 < a_2 < \cdots\}$ by defining $a_{n+1}$ for $n \geq k$ to be the least integer exceeding $a_n$ which is not of the form $a_i + a_j$ with $i, j < n$. Is it true that the sequence of differences $a_{m+1} - a_m$ is eventually periodic?"
411,#411,open,75.0,5,3,4,2,other,"Iterate g numerically for many starting values n, detect eventual periodic doubling behavior, tabulate which (n,r) pairs satisfy the condition and look for pattern","The objects are elementary (integers, Euler's totient), and the iteration is directly computable, making extensive numerical experiments very feasible. The question asks to characterize when the sequence eventually doubles with period r, which experiments can strongly inform even if a full proof is hard.",Let $g_1 = g(n) = n + \phi(n)$ and $g_k(n) = g(g_{k-1}(n))$. For which $n$ and $r$ is it true that $g_{k+r}(n) = 2g_k(n)$ for all large $k$?
854,#854,open,75.0,5,3,4,2,other,"Compute primorial gaps for k=1..10: enumerate integers coprime to n_k, compute all consecutive differences, find missing even integers and count distinct gaps vs max gap.","Objects are elementary (primorials, coprime residues, gaps) and fully computable for small k. The estimation/asymptotic questions can be strongly informed by direct computation of gap distributions across primorials.","Let $n_k$ denote the $k$th primorial, i.e. the product of the first $k$ primes. If $1 = a_1 < a_2 < \cdots a_{\phi(n_k)} = n_k - 1$ is the sequence of integers coprime to $n_k$, then estimate the smallest even integer not of the form $a_{i+1} - a_i$. Are there $\gg \max_i(a_{i+1} - a_i)$ many even integers of the form $a_{j+1} - a_j$?"
864,#864,open,75.0,5,3,4,2,universal,"Write a greedy/exhaustive search for maximal such sets A in {1..N} for N up to ~10000, compare sizes to (2/sqrt(3))*sqrt(N), check if bound is tight or violated","The objects are just subsets of integers with a restricted sumset condition (almost B_2/Sidon sets), very elementary to state and check computationally. Small cases are directly searchable to test the conjectured bound, though proving it requires additive combinatorics techniques.","Let $A \subseteq \{1,\ldots N\}$ be a set such that there exists at most one $n$ with more than one solution to $n = a + b$ (with $a \le b \in A$). Estimate the maximal possible size of $|A|$ - in particular, is it true that $$|A| \le (1 + o(1))\frac{2}{\sqrt{3}} N^{1/2}?$$"
327,seq327,,75.0,5,3,4,2,existence,Search integers n up to 10^12 or beyond: check if n is 2-full (powerful) and n+1 is 3-full; existing databases of powerful numbers can accelerate this.,"The objects are elementary (powerful numbers and 3-full numbers defined by simple divisibility conditions), and finite search is very concrete. However, if no small example exists the search becomes a large-scale sieve, and proving existence or non-existence likely requires deep methods (abc conjecture territory).","Are there any 2-full $n$ such that $n + 1$ is 3-full? That is, if $p \mid n$ then $p^2 \mid n$ and if $p \mid n + 1$ then $p^3 \mid n + 1$."
406,#406,open,73.0,5,2,5,2,universal,Enumerate powers of 2 (up to e.g. 2^10000) and check their base-3 representations for digits other than 0 and 1; catalog all hits and see if they dry up.,"The objects are completely elementary (powers of 2, base-3 digits), and the check is trivially computable for large ranges. However, the conjecture asserts finiteness, so computation can find more examples or show none exist up to a large bound, but cannot prove finiteness; a 'counterexample' (another such power of 2) would actually disprove finiteness, but such examples are expected to be extremely sparse making search weakly informative.",Is it true that there are only finitely many powers of $2$ which have only the digits $0$ and $1$ when written in base $3$?
409,#409,open,73.0,5,2,5,2,other,"Iterate n -> phi(n)+1 for all n up to 10^6, record which prime each n reaches and how many steps, compute frequency distributions and densities empirically","The objects are entirely elementary (Euler's totient, primes, iteration counts) and fully computable for small n. Multiple sub-questions are asked; the density and infinitely-many questions are harder analytically, but computational experiments can strongly characterize behavior and suggest conjectures.",How many iterations of $n \mapsto \phi(n) + 1$ are needed before a prime is reached? Can infinitely many $n$ reach the same prime? What is the density of $n$ which reach any fixed prime?
454,#454,open,73.0,5,2,5,2,universal,"Compute f(n)-2p_n for n up to 10^6 or beyond, track the limsup, and look for growing trend or plateau","Objects are entirely elementary (just prime sequences), and the quantity f(n)-2p_n is directly computable for any n. However, resolving the limsup question definitively requires either finding it unbounded (hard to confirm computationally) or finding a proof/disproof, so computation gives evidence but not resolution.","Let $f(n) = \min_{i<n}(p_{n+i} + p_{n-i})$, where $p_k$ is the $k$th prime. Is it true that $\limsup_n (f(n) - 2p_n) = \infty$?"
968,#968,open,73.0,5,2,5,2,universal,"Compute u_n vs u_{n+1} for all n up to 10^7 or beyond, estimate density of {n: p_n/n < p_{n+1}/(n+1)} empirically","Objects are completely elementary (just primes and ratios), and the condition p_n/n < p_{n+1}/(n+1) is directly checkable computationally for large ranges to estimate density. However, proving positive density likely requires deep results on prime gaps, making this hard to resolve theoretically despite easy computation.","Let $u_n = p_n/n$, where $p_n$ is the $n$th prime. Does the set of $n$ such that $u_n < u_{n+1}$ have positive density?"
36,#36,,72.0,5,2,4,3,exact_value,"Enumerate all partitions of {1,...,2N} for small N (e.g., N up to 12), compute max over x of |{(a,b): a-A, b-B, a-b=x}| / N, and find the minimum over all equal partitions to estimate c empirically.","The objects are elementary (integer partitions, difference counts), and the constant c can be estimated computationally by exhaustive or heuristic search over partitions for small N. The problem likely requires Fourier/combinatorial insight to pin down the exact constant, but experiments can strongly suggest the answer.","Find the optimal constant $c > 0$ such that the following holds. For all sufficiently large $N$, if $A \cup B = \{1, \ldots, 2N\}$ is a partition into two equal parts, so that $|A| = |B| = N$, then there is some $x$ such that the number of solutions to $a - b = x$ with $a \in A$ and $b \in B$ is at least $cN$."
412,#412,open,72.0,4,3,5,2,universal,"Compute iterated sigma chains for all pairs m,n up to ~1000, checking if their orbits under repeated sigma application ever merge; look for pairs whose chains diverge or cycle without meeting.","Objects are elementary (sum of divisors iterated), and small cases are fully computable. However, chains grow rapidly and may cycle or diverge, making exhaustive search for counterexamples feasible only in a limited range, so computational evidence is meaningful but not conclusive.","Let $\sigma_1(n) = \sigma(n)$, the sum of divisors function, and $\sigma_k(n) = \sigma(\sigma_{k-1}(n))$. Is it true that, for every $m, n \geq 2$, there exist some $i, j$ such that $\sigma_i(m) = \sigma_j(n)$?"
479,#479,open,72.0,4,3,5,2,universal,"For each small k, search for n satisfying 2^n ≡ k (mod n) by iterating n and checking the congruence; verify that many k values yield abundant solutions and look for any k where solutions seem sparse.","The objects are completely elementary (modular arithmetic, powers of 2) and small cases are directly computable. However, proving infinitely many solutions for each k likely requires number-theoretic depth (similar to known results around 2^n ≡ 1 mod n), so computation can gather evidence but not resolve the problem.","Is it true that, for all $k \neq 1$, there are infinitely many $n$ such that $2^n \equiv k \pmod{n}$?"
672,#672,open,72.0,4,3,5,2,universal,"Search over small n,d,k for AP products that are perfect powers; Erdős-Selfridge type bounds let you prune quickly","Objects are elementary (APs of integers, perfect powers) and small cases are directly computable. The conjecture is believed to be no counterexample exists, proven for k>=4 when d=1 (Erdős-Selfridge), but general d remains open, making deep algebraic/number-theoretic tools likely necessary for a full proof.","Can the product of an arithmetic progression of positive integers $n, n + d, \ldots, n + (k - 1)d$ of length $k \geq 4$ (with $(n, d) = 1$) be a perfect power?"
676,#676,open,72.0,4,3,5,2,universal,"For each integer n, check all primes p where p^2 <= n, see if (n-b) is divisible by p^2 for some 0<=b<p; verify coverage for n up to 10^6 to find any gaps or build confidence","The objects are entirely elementary (integers, primes, divisibility) and small cases are directly computable. However, proving coverage for all large n likely requires sieve methods or analytic number theory, making a full resolution hard; computation can only provide evidence or find a counterexample.",Is every sufficiently large integer of the form $ap^2 + b$ for some prime $p$ and integer $a \geq 1$ and $0 \leq b < p$?
855,#855,open,72.0,4,3,5,2,universal,"Search computationally for x,y where pi(x+y) > pi(x)+pi(y); known to be false for small values (e.g. x=2,y=2) so the 'large x,y' qualifier matters—check ranges up to 10^8 systematically.","This is a well-known conjecture (believed false but unproven for large x,y) involving only the prime counting function, making it elementary to state and partially checkable by code. The 'large x and y' qualifier makes counterexample search hard since small cases violate it trivially, requiring deep analytic number theory to resolve asymptotically.","If $\pi(x)$ counts the number of primes in $[1, x]$ then is it true that (for large $x$ and $y$) $$\pi(x + y) \leq \pi(x) + \pi(y)?$$"
1063,#1063,open,72.0,5,2,4,3,existence,"Write code to compute n_k directly for k=2..30 by checking divisibility conditions, then look for patterns in the sequence.","The objects are elementary (binomial coefficients and divisibility), and n_k can be computed exactly for each k by brute-force search over n. Once a table of values is built, one can attempt to fit asymptotic formulas or spot number-theoretic structure.",Let $k \geq 2$ and define $n_k \geq 2k$ to be the least value of $n$ such that $n - i$ divides $\binom{n}{k}$ for all but one $0 \leq i < k$. Estimate $n_k$.
278,#278,open,71.0,4,3,4,3,other,"For small sets A, enumerate all choices of residues a_i and compute the density of the union of congruence classes via inclusion-exclusion; compare maximum and minimum densities.","The objects are elementary (congruences, density of covered integers), and small cases are fully computable via inclusion-exclusion over residue choices. The second part ('is minimum achieved when all a_i equal?') is a universal claim that could be checked or refuted computationally for small A.",Let $A = \{n_1 < \cdots < n_r\}$ be a finite set of positive integers. What is the maximum density of integers covered by a suitable choice of congruences $a_i \pmod{n_i}$? Is the minimum density achieved when all the $a_i$ are equal?
306,#306,open,71.0,4,3,4,3,universal,"For small squarefree denominators, enumerate all positive rationals a/b with b squarefree up to some bound and try greedy/backtracking search over semiprimes to represent them as Egyptian fraction sums.","Objects are elementary (semiprimes, rational numbers, Egyptian fractions), and finite search over semiprimes up to a bound can test representability for small cases. The squarefree denominator condition is an interesting constraint that may be checkable computationally but the general proof likely needs a density/covering argument for semiprimes analogous to Egyptian fraction theory.","Let $a/b \in \mathbb{Q}_{>0}$ with $b$ squarefree. Are there integers $1 < n_1 < \cdots < n_k$, each the product of two distinct primes, such that $$\frac{a}{b} = \frac{1}{n_1} + \cdots + \frac{1}{n_k}?$$"
635,#635,open,71.0,4,3,4,3,universal,"For small t and N, enumerate all subsets A of {1,...,N} satisfying the divisibility condition and compute max |A|, then check if ratio approaches 1/2 as t grows.","The objects are elementary integers with a simple divisibility condition, making small-case computation very feasible. The 1/2 bound conjecture can be tested computationally for moderate N and varying t to gather strong evidence.","Let $t \geq 1$ and $A \subseteq \{1,\ldots,N\}$ be such that whenever $a, b \in A$ with $b - a \geq t$ we have $b - a \nmid b$. How large can $|A|$ be? Is it true that $$|A| \leq \left(\frac{1}{2} + o_t(1)\right) N?$$"
963,#963,open,71.0,4,3,4,3,universal,"For small n, enumerate worst-case sets A (e.g., geometric progressions, arithmetic progressions) and compute maximum dissociated subset size; check if f(n) >= floor(log2(n)) holds and gather evidence on tight examples.","Dissociated sets (subset-sum distinct) are elementary objects and the bound floor(log2(n)) is simple to check computationally for small n by brute-force search over candidate sets. The problem has a clean finite combinatorial formulation making experiments feasible, though proving the general bound requires more insight.","Let $f(n)$ be the maximal $k$ such that in any set $A \subset \mathbb{R}$ of size $n$ there is a subset $B \subseteq A$ of size $|B| \geq k$ which is dissociated that is, the sums $\sum_{b \in S} b$ are distinct for all $S \subseteq B$. Estimate $f(n)$ - in particular, is it true that $$f(n) \geq \lfloor \log_2 n \rfloor?$$"
307,#307,open,70.0,5,1,5,3,existence,"Search over finite subsets of primes P,Q (up to some bound) checking if product of reciprocal sums equals 1; use rational arithmetic to be exact.","Objects are entirely elementary (primes, fractions), and the question is pure existence so code can search exhaustively over small sets. However no counterexample resolves it—only finding a valid pair would, making this a one-sided computational search that could succeed if small examples exist.","Are there two finite sets of primes $P, Q$ such that \[ 1 = \left(\sum_{p \in P} \frac{1}{p}\right)\left(\sum_{q \in Q} \frac{1}{q}\right)? \]"
